tweet_id,favorite_count,retweet_count,retweet_status,url
892420643555336193,39467,8853,Original tweet,https://t.co/MgUWQ76dJU
892177421306343426,33819,6514,Original tweet,https://t.co/0Xxu71qeIV
891815181378084864,25461,4328,Original tweet,https://t.co/wUnZnhtVJB
891689557279858688,42908,8964,Original tweet,https://t.co/tD36da7qLQ
891327558926688256,41048,9774,Original tweet,https://t.co/AtUZn91f7f
891087950875897856,20562,3261,Original tweet,https://t.co/kQ04fDDRmh
890971913173991426,12041,2158,Original tweet,https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl
890729181411237888,56848,16716,Original tweet,https://t.co/v0nONBcwxq
890609185150312448,28226,4429,Original tweet,https://t.co/9TwLuAGH0b
890240255349198849,32467,7711,Original tweet,https://t.co/t1bfwz5S2A
890006608113172480,31166,7624,Original tweet,https://t.co/dVPW0B0Mme
889880896479866881,28268,5156,Original tweet,https://t.co/u1XPQMl29g
889665388333682689,38818,8538,Original tweet,https://t.co/BxvuXk0UCm
889638837579907072,27672,4735,Original tweet,https://t.co/f8dEDcrKSR
889531135344209921,15359,2321,Original tweet,https://t.co/y70o6h3isq
889278841981685760,25652,5637,Original tweet,https://t.co/WpHvrQedPb
888917238123831296,29611,4709,Original tweet,https://t.co/chxruIOUJN
888804989199671297,26080,4559,Original tweet,https://t.co/HTQ77yNQ5K
888554962724278272,20290,3732,Original tweet,https://t.co/YnYAFCTTiK
888078434458587136,22201,3653,Original tweet,https://t.co/DK7iDPfuRX
887705289381826560,30779,5609,Original tweet,https://t.co/PhrUk20Q64
887517139158093824,46959,12082,Original tweet,https://t.co/20VrLAA8ba
887473957103951883,69871,18781,Original tweet,https://t.co/cLyzpcUcMX
887343217045368832,34222,10737,Original tweet,https://t.co/WZqNqygEyV
887101392804085760,31061,6167,Original tweet,https://t.co/4Ad1jzJSdp
886983233522544640,35859,8084,Original tweet,https://t.co/I6oNy0CgiT
